,Location,Longitude,Latitude,Suburb,States,Drive.Through,Appointment
1,Albion Park Southern.IML Pathology Drive-through Pop-up Clinic,150.77757,-34.57014083,Albion Park,New South Wales,Yes,No
2,Albury Dorevitch Pathology Clinic,146.92729,-36.038827,Lavington,New South Wales,No,No
3,Albury Douglass Hanly Moir Pathology Drive-through Clinic,146.936315,-36.066257,Albury,New South Wales,Yes,No
4,Alstonville Sullivan Nicolaides Pathology,153.441711,-28.84191,Alstonville,New South Wales,No,Yes
5,Anna Bay 4Cyte Pathology Drive-through Clinic,152.0613852,-32.76971824,Anna Bay,New South Wales,Yes,No
6,Armidale Douglass Hanly Moir Pathology Walk-in Clinic,151.6584625,-30.5127852,Armidale,New South Wales,No,Yes
7,Armidale Hospital Drive-through Clinic,151.673146,-30.516733,Armidale,New South Wales,Yes,Yes
8,Armidale Laverty Pathology Drive-through Clinic,151.6085611,-30.53582493,Armidale,New South Wales,Yes,No
9,Arncliffe Histopath Pathology Drive-through Clinic,151.15049,-33.94474,Arncliffe,New South Wales,Yes,No
10,Ashfield Clinical Labs Pathology Walk-in Clinic,151.1248876,-33.88897925,Ashfield,New South Wales,No,No
