title,Longitude,Latitude
Albion Park Southern.IML Pathology Drive-through Pop-up Clinic,150.77757,-34.57014083
Albury Dorevitch Pathology Clinic,146.92729,-36.038827
Albury Douglass Hanly Moir Pathology Drive-through Clinic,146.936315,-36.066257
Albury Wodonga Health Campus Respiratory Clinic,146.8881388,-36.1281557
Albury Wodonga Health Clinic,146.880299,-36.130247
Alstonville Sullivan Nicolaides Pathology,153.441711,-28.84191
Anna Bay 4Cyte Pathology Drive-through Clinic,152.0613852,-32.76971824
Armidale Douglass Hanly Moir Pathology Walk-in Clinic,151.6584625,-30.5127852
Armidale Hospital Drive-through Clinic,151.673146,-30.516733
Armidale Laverty Pathology Drive-through Clinic,151.6085611,-30.53582493
Arncliffe Histopath Pathology Drive-through Clinic,151.15049,-33.94474
Ashfield Clinical Labs Pathology Walk-in Clinic,151.1248876,-33.88897925
Auburn Central Pop-up Clinic,151.0317828,-33.85043343
Auburn Community Health Care Centre Drive-through Clinic,151.033312,-33.859856
Auburn Drive-through and Walk-in Clinic,151.040149,-33.852396
Auburn Medlab Pathology Drive-through Clinic,151.0161063,-33.87099639
Auburn Medlab Pathology Walk-in Clinic,151.0320104,-33.8559556
Avalon Laverty Pathology Drive-through and Walk-in Clinic,151.3277109,-33.63545836
Balgownie Laverty Pathology,150.8770269,-34.38871992
Ballina 4Cyte Pathology Ballina Drive-through Clinic,153.5511237,-28.86641507
Ballina Respiratory Clinic,153.558516,-28.868755
Ballina Sullivan Nicolaides Pathology,153.559368,-28.868827
Balranald Drive-through Pop-up Clinic,143.5627158,-34.63335511
Bankstown 4Cyte Pathology Drive-through Clinic,151.032748,-33.914917
Bankstown Laverty Pathology,151.032726,-33.914691
Bankstown-Lidcombe Hospital,151.020979,-33.933096
Bankwest Stadium Drive-through Clinic,151.0012034,-33.80737074
Baradine Multi-Purpose Service,149.0665115,-30.94503216
Barden Ridge Histopath Pathology Drive-through Clinic,150.994792,-34.03324
Bargo Medlab Pathology Walk-in Clinic,150.5817626,-34.29452718
Barrack Heights Laverty Pathology Drive-through Clinic,150.847656,-34.557565
Bass Hill Histopath Pathology Drive-through Clinic,150.9989037,-33.90717836
Bateau Bay Clinical Labs Pathology,151.473362,-33.377184
Batemans Bay Southern.IML.Pathology Drive-through Clinic,150.1945334,-35.72190598
Bathurst Base Hospital,149.5722696,-33.40617612
Bathurst Laverty Pathology Drive-through Clinic,149.5583433,-33.43939074
Bathurst Respiratory Clinic,149.564714,-33.428562
Beecroft Respiratory Clinic,151.065578,-33.748818
Bega Capital Pathology,149.845691,-36.674435
Bega Valley Health Service Drive-through Clinic,149.8584412,-36.6889334
Bella Vista Clinical Labs Pathology Drive-through Clinic,150.9473992,-33.73650896
Bellingen Drive-through Clinic,152.8969376,-30.4557107
Belmont 4Cyte Pathology Drive-through Clinic,151.6660508,-33.03272186
Belmont Hospital Drive-through Clinic,151.648457,-33.025355
Belmore Medical Respiratory Clinic,151.0901489,-33.9205457
Benalla Health Fever Clinic,145.9947213,-36.5601889
Berala Medlab Pathology Walk-in Clinic,151.0347472,-33.86895074
Berkeley Southern.IML Pathology Drive-through Clinic,150.834846,-34.47872925
Bingara Multi-Purpose Service Drive-through,150.5796668,-29.8643659
Blacktown 4Cyte Pathology Drive-through and Walk-in Clinic,150.9105936,-33.76560597
Blacktown 4Cyte Pathology Drive-through Clinic,150.914186,-33.773638
Blacktown Hospital,150.917045,-33.775686
Blacktown International Sportspark Laverty Pathology Drive-through Clinic,150.8566266,-33.77392966
Blacktown Respiratory Clinic,150.9046629,-33.7690788
Blacktown Showground Douglass Hanly Moir Pathology Drive-through Clinic,150.901518,-33.763759
Blaxland Douglas Hanly Moir Pathology Drive-through Clinic,150.6086546,-33.75075027
Blayney Drive-through Clinic,149.2506788,-33.5377283
Blue Mountains Hospital Drive-through Clinic,150.320932,-33.704937
Boggabri Multi-Purpose Service,150.0415516,-30.71210182
Bomaderry Histopath Pathology Drive-through Clinic,150.6010711,-34.84630777
Bombala Multi-Purpose Service,149.2412621,-36.91336316
Bombala Multi-Purpose Service,149.235577,-36.917371
Bondi Beach Drive-through Clinic,151.277201,-33.890344
Bondi Junction 4Cyte Pathology Walk-in Clinic,151.2477432,-33.8939983
Bondi Junction Laverty Pathology Drive-through and Walk-in Clinic,151.2526574,-33.89259507
Bondi Junction Respiratory Clinic,151.2466185,-33.8925119
Boolaroo 4Cyte Pathology Drive-through Clinic,151.6241618,-32.95979899
Boronia Park Clinical Labs Pathology Drive-through Clinic,151.139395,-33.82411338
Bossley Park Laverty Pathology Drive-through Clinic,150.8807524,-33.86435799
Bourke Multi-Purpose Service,145.9426115,-30.09314663
Bowral and District Hospital,150.42342,-34.484507
Brewarrina Multi-Purpose Service,146.8651838,-29.96150527
Broadmeadow Laverty Pathology Drive-through Clinic,151.7260133,-32.91743808
Broken Hill (Maari Ma Health Service) Respiratory Clinic,141.46906,-31.9563697
Broken Hill Alma Oval Drive-through and Walk-in Clinic,141.4607107,-31.98204817
Broken Hill Memorial Oval Drive-through Clinic                      ,141.4491793,-31.95480882
Broken Hill Royal Flying Doctor's Service Respiratory Clinic,141.4706373,-31.99783824
Brookvale Community Health Centre Clinic,151.26869,-33.767639
Bulli Laverty Pathology Drive-through Clinic,150.9108401,-34.32991413
Burwood 4Cyte Pathology Walk-in Clinic,151.1039535,-33.87820347
Burwood Histopath Pathology Drive-through Clinic,151.1059087,-33.87450724
Burwood Laverty Pathology Drive-through Clinic,151.1050137,-33.8728154
Byron Bay Sullivan Nicolaides Pathology,153.613363,-28.643112
Byron Central Hospital,153.5558978,-28.6373653
Cabramatta Medlab Pathology Walk-in Clinic,150.9393916,-33.89211718
Calvary Mater Newcastle Hospital,151.720935,-32.89861
Camden 4Cyte Pathology Drive-through Clinic,150.6951278,-34.07301437
Camden Hospital Walk-in Clinic,150.693698,-34.062573
Campbelltown 4Cyte Drive-through Clinic,150.8127551,-34.0743247
Campbelltown Histopath Pathology Drive-through Clinic,150.787544,-34.068295
Campbelltown Hospital,150.8040357,-34.0779955
Campbelltown Respiratory Clinic,150.8124686,-34.0682525
Campbelltown/Leumeah Histopath Pathology Drive-through Clinic,150.831223,-34.049327
Campsie 4Cyte Pathology Walk-in,151.1023779,-33.91400107
Campsie Clinical Labs Pathology,151.103775,-33.914526
Campsie MedLab Pathology Walk-in Clinic,151.1041785,-33.90820072
Canowindra Soldier's Memorial Hospital,148.6724924,-33.55740389
Canterbury Hospital,151.0979456,-33.9203632
Caringbah 4Cyte Pathology Walk-in Clinic,151.1181955,-34.03745672
Caringbah Histopath Pathology Walk-in Clinic,151.121074,-34.04158
Carlingford Drive-through Clinic,151.036729,-33.763137
Carlton 4Cyte Pathology Drive-through Clinic,151.1281963,-33.97414087
Casino 4Cyte Pathology Drive-through Clinic,153.0539915,-28.86638998
Casino Respiratory Clinic,153.046233,-28.864818
Casino Sullivan Nicolaides Pathology,153.0502,-28.862362
Castle Hill Clinical Labs Pathology Drive-through Clinic,150.98582,-33.724302
Castle Hill Respiratory Clinic,151.0045571,-33.73293266
Central Railway Station Clinic,151.2067907,-33.88237561
Cessnock Hospital Drive-through Clinic,151.3484795,-32.8278047
Cessnock Laverty Pathology Drive-through Clinic,151.340712,-32.83047848
Charlestown Clinical Labs Pathology Drive-through Clinic,151.7051015,-32.97251794
Charmhaven 4Cyte Pathology Drive-through Clinic,151.5019839,-33.23063305
Cherrybrook/West Pennant Hills Histopath Pathology Drive-through Clinic,151.035532,-33.744399
Chester Hill Laverty Pathology,151.002594,-33.882177
Chester Hill Respiratory Clinic,150.9959262,-33.87699692
Chifley Histopath Pathology Drive-through Clinic,151.2380973,-33.97435
Clarendon Clinical Labs Pathology Drive-through Clinic,150.7823308,-33.60875638
Cobar Multi-Purpose Service,145.825443,-31.50972164
Cobar Respiratory Clinic,145.8373964,-31.5006037
Coffs Harbour - Park Beach Plaza Sullivan Nicolaides Pathology,153.131515,-30.28277
Coffs Harbour Drive-through Clinic,153.0946608,-30.32319461
Coffs Harbour Sullivan Nicolaides Pathology,153.115945,-30.301097
Collarenebri Multi-Purpose Service,148.5807267,-29.51886491
Concord Histopath Pathology Walk in and Drive-through Clinic,151.097721,-33.84583821
Concord Hospital,151.091991,-33.836616
Condobolin Health Service,147.1550734,-33.08193509
Coogee Laverty Pathology Walk-in and Drive-through Clinic,151.259825,-33.91384825
Coolah Multi-Purpose Service,149.7154627,-31.82297615
Cooma Capital Pathology,149.12269,-36.236483
Cooma Drive-through Clinic,149.1216509,-36.2393511
Coomealla Drive-through Pop-up Clinic,142.0430839,-34.09106712
Coonabarabran Health Service Drive-through Clinic,149.282839,-31.27438079
Coonamble Multi-Purpose Service,149.2849636,-31.27443599
Cootamundra Hospital,148.013014,-34.634499
Cowra Health Service,148.6917935,-33.83246783
Cowra Respiratory Clinic,148.6951241,-33.8356693
Cromer Park Histopath Pathology Drive-through Clinic,151.2838948,-33.7389474
Crookwell Hospital,149.467909,-34.465537
Culburra Beach Histopath Pathology Drive-through Pop-up Clinic,150.7617709,-34.91067354
Dee Why Respiratory Clinic,151.2828551,-33.7556633
Deniliquin District Hospital,144.9632084,-35.52413121
Deniliquin Respiratory Clinic,144.9619663,-35.5252972
Doyalson Wyee RSL Club Douglass Hanly Moir Pathology Drive-through Clinic,151.5263217,-33.19726443
Drummoyne Laverty Pathology Drive-through Clinic,151.1621269,-33.85548672
Dubbo Histopath Pathology Drive-through Clinic,148.6141159,-32.24767316
Dubbo Manera Plaza Walk-in Clinic,148.6253494,-32.24204849
Dubbo Respiratory Clinic,148.6028915,-32.2504375
Dubbo Showground Pop-up Clinic,148.6138519,-32.25023738
Dunedoo Multi-purpose Service,149.3944684,-32.01706914
Dungog 4Cyte Pathology Drive-through Clinic,151.752946,-32.40212038
Earlwood Laverty Pathology,151.127193,-33.926089
East Maitland 4Cyte Pathology Drive-through Clinic,151.580887,-32.751562
Eastwood Laverty Pathology,151.0813813,-33.79219861
Echuca Regional Health Hospital Clinic,144.7502622,-36.1388037
Edensor Park Histopath Pathology Drive-through Clinic,150.888053,-33.88278
Emerald Hills Clinical Labs Pathology Drive-through Clinic,150.792234,-33.996384
Emerton Drive-through Clinic,150.8095768,-33.74269002
Engadine Laverty Pathology,151.011775,-34.064151
Erina Respiratory Clinic,151.401807,-33.434659
Evans Head Sullivan Nicolaides Pathology,153.430421,-29.117903
Fairfield GP Respiratory Clinic,150.95462,-33.869351
Fairfield Histopath Pathology Drive-through and Walk-in Clinic,150.9575941,-33.87269441
Fairfield Hospital,150.904772,-33.859839
Fairfield Showground SydPath Drive-through Clinic,150.906986,-33.868158
Fairfield West Laverty Pathology Pop-up Drive-through Clinic,150.9312996,-33.87640464
Fairy Meadow Southern.IML Pathology Drive-through Clinic,150.9040006,-34.39105519
Figtree Laverty Pathology Drive-through Clinic,150.8637116,-34.4351855
Forbes Hospital,148.0140689,-33.39578961
Forster Douglass Hanly Moir Pathology Walk-in Clinic,152.5166162,-32.18920478
Forster Laverty Pathology,152.514495,-32.189026
Frenchs Forest 4Cyte Pathology Clinic,151.223654,-33.749078
Frenchs Forest MedLab Pathology,151.23145,-33.752633
Gateshead Laverty Pathology Drive-through Clinic,151.6900816,-32.98985217
Gerringong 4Cyte Pathology Drive-through Clinic,150.8279696,-34.7476414
Gilgandra Multi-Purpose Service Drive-through Clinic,148.6558646,-31.7041871
Girraween Medlab Pathology Drive-through and Walk-in Clinic,150.9383803,-33.79954744
Gledswood Hill Medlab Pathology Walk-in Clinic,150.7677531,-34.02035956
Glen Innes Hospital Drive-through Clinic,151.7318937,-29.7336899
Gol Gol Drive-through Pop-up Clinic,142.1960044,-34.17643617
Goodooga Health Service,147.4556241,-29.11083739
Gosford 4Cyte Pathology Drive-through Clinic,151.336033,-33.394441
Gosford Hospital,151.3394105,-33.4203006
Goulburn Base Hospital,149.7131853,-34.7478657
Goulburn Capital Pathology Drive-Through Clinic,149.7083241,-34.76147188
Goulburn Laverty Pathology Drive-through Clinic,149.7105379,-34.75136075
Grafton Base Hospital,152.9406223,-29.6754432
Grafton South Sullivan Nicolaides Pathology,152.938676,-29.706288
Granville Clinical Labs Pathology Drive-through Clinic,151.012729,-33.830415
Granville Laverty Pathology Pop-up Drive-through Clinic,151.0122799,-33.83532179
Greenacre Medlab Pathology Walk-in Clinic,151.0573766,-33.90664706
Grenfell Drive-through Clinic,148.167338,-33.894345
Griffith Laverty Pathology Drive-through Clinic,146.0315677,-34.29100138
Griffith Respiratory Clinic,146.0434191,-34.284261
Griffith Testing Clinic,146.0481569,-34.2896958
Guildford Library Medlab Pathology Walk-in Clinic,150.9862239,-33.85292749
Guildford Pool Car Park Pop-up Clinic,150.9740035,-33.85212965
Gulgong Multi-Purpose Service,149.522014,-32.3669112
Gundagai Respiratory Clinic,148.0928022,-35.0852781
Gunnedah Hospital,150.2514241,-30.982046
Gunnedah Laverty Pathology Drive-through Clinic,150.250659,-30.97327459
Guyra Multipurpose Service Drive-through Clinic,151.6791647,-30.21243487
Haberfield 4Cyte Pathology Drive-through Clinic,151.1336653,-33.88239596
Hammondville 4Cyte Pathology Drive-through and Walk-in Clinic ,150.9567641,-33.95528973
Hawkesbury/Windsor Clinical Labs Pathology Drive-through Clinic,150.820384,-33.6135
Hay Hospital Clinic,144.8569286,-34.50190876
Hazelbrook Respiratory Clinic,150.4540016,-33.7217326
Heathcote Histopath Pathology Drive-through Clinic,151.0057911,-34.09184955
Helensburgh Respiratory Clinic,150.9810578,-34.191041
Hinchinbrook 4Cyte Pathology Drive-through and Walk-in Clinic,150.8690417,-33.9256578
Hornsby Clinical Labs Pathology Drive-through Clinic,151.0982496,-33.70133849
Hornsby Ku-ring-gai Hospital,151.1137505,-33.70244801
Hurstville 4Cyte Pathology Walk-in Clinic,151.103134,-33.968307
Hurstville Community Health Care,151.102842,-33.969423
Hurstville Laverty Pathology Walk-in Clinic,151.1019563,-33.96772852
Huskisson Drive-through Clinic,150.6649809,-35.03503428
Ingleburn Laverty Pathology,150.866831,-33.999279
Inner West Respiratory Clinic,151.1750756,-33.8581685
Inverell Hospital Drive-through Clinic,151.129266,-29.7706031
Inverell Laverty Pathology Drive-through Clinic,151.1228482,-29.79242407
Ivanhoe Drive-through Pop-up Clinic,144.3015669,-32.89606867
Jannali Laverty Pathology Drive-through Clinic,151.066879,-34.016411
John Hunter Hospital,151.69275,-32.922687
Kanwal Laverty Pathology Drive-through Clinic,151.49579,-33.251904
Kempsey Respiratory Clinic,152.8396531,-31.0799732
Kempsey Riverside Park Drive-through and Walk-in Clinic,152.8413496,-31.08293348
Kenthurst Pop-up Clinic,151.0130407,-33.68774986
"Kerang, Cohuna, Boort- Northern District Community Health Clinic",143.9183445,-35.733278
Kiama Laverty Pathology Drive-through Clinic,150.8477658,-34.66581951
Killara Histopath Pathology Drive-through Clinic,151.164548,-33.767487
Kincumber Laverty Pathology Drive-through Clinic,151.3923049,-33.46977464
Kingsgrove Medlab Pathology Walk-in Clinic,151.0983965,-33.94312631
Kingswood Clinical Labs Pathology Drive-though Clinic,150.7132083,-33.77549487
"Kirketon Road Centre Mobile Clinic, Eastlakes",151.2144557,-33.92580833
"Kirketon Road Centre Mobile Clinic, Malabar",151.2474544,-33.9742547
"Kirketon Road Centre Mobile Clinic, Martin Place",151.2111792,-33.8677809
"Kirketon Road Centre Mobile Clinic, Redfern",150.6729235,-32.922687
"Kirketon Road Centre Mobile Clinic, Surry Hills",151.2115281,-33.888478
"Kirketon Road Centre Mobile Clinic, Woolloomooloo",151.219495,-33.872891
Kyabram and District Health Service,145.0420678,-36.3151365
Kyogle Sullivan Nicolaides Pathology,153.001736,-28.627008
Lakemba Respiratory Clinic,151.0774665,-33.9211832
Leeton District Hospital,146.409261,-34.545747
Lennox Head Sullivan Nicolaides Pathology,153.593257,-28.796357
Lidcombe Drive-through Clinic,151.0508422,-33.88479304
Lidcombe Medlab Pathology Drive-through and and Walk-in Clinic,151.0412837,-33.85991919
