,Location,Longitude,Latitude,Suburb,States,Drive.Through,Appointment
1,Albion Park Southern.IML Pathology Drive-through Pop-up Clinic,150.77757,-34.57014083,Albion Park,New South Wales,Yes,No
2,Albury Dorevitch Pathology Clinic,146.92729,-36.038827,Lavington,New South Wales,No,No
3,Albury Douglass Hanly Moir Pathology Drive-through Clinic,146.936315,-36.066257,Albury,New South Wales,Yes,No
4,Alstonville Sullivan Nicolaides Pathology,153.441711,-28.84191,Alstonville,New South Wales,No,Yes
5,Anna Bay 4Cyte Pathology Drive-through Clinic,152.0613852,-32.76971824,Anna Bay,New South Wales,Yes,No
6,Armidale Douglass Hanly Moir Pathology Walk-in Clinic,151.6584625,-30.5127852,Armidale,New South Wales,No,Yes
7,Armidale Hospital Drive-through Clinic,151.673146,-30.516733,Armidale,New South Wales,Yes,Yes
8,Armidale Laverty Pathology Drive-through Clinic,151.6085611,-30.53582493,Armidale,New South Wales,Yes,No
9,Arncliffe Histopath Pathology Drive-through Clinic,151.15049,-33.94474,Arncliffe,New South Wales,Yes,No
10,Ashfield Clinical Labs Pathology Walk-in Clinic,151.1248876,-33.88897925,Ashfield,New South Wales,No,No
11,Auburn Central Pop-up Clinic,151.0317828,-33.85043343,Auburn,New South Wales,No,No
12,Auburn Community Health Care Centre Drive-through Clinic,151.033312,-33.859856,Auburn,New South Wales,Yes,No
13,Auburn Drive-through and Walk-in Clinic,151.040149,-33.852396,Auburn,New South Wales,Yes,No
14,Auburn Medlab Pathology Drive-through Clinic,151.0161063,-33.87099639,Auburn,New South Wales,Yes,No
15,Auburn Medlab Pathology Walk-in Clinic,151.0320104,-33.8559556,Auburn,New South Wales,No,No
16,Avalon Laverty Pathology Drive-through and Walk-in Clinic,151.3277109,-33.63545836,Avalon Beach,New South Wales,Yes,No
17,Balgownie Laverty Pathology,150.8770269,-34.38871992,Balgownie,New South Wales,No,Yes
18,Ballina 4Cyte Pathology Ballina Drive-through Clinic,153.5511237,-28.86641507,Ballina,New South Wales,Yes,No
19,Ballina Respiratory Clinic,153.558516,-28.868755,Ballina,New South Wales,No,Yes
